Cultivar,Variedad,Patrón,Parcela,Árbol,Vivo-M6-20_10_19,Sospecha-M6-20_10_19,Severidad-M6-20_11_19,M6-Inspección_Visual-20_11_19,Observaciones_M4
Naranja,PeraDelRio,CPB4475,1,1,FALSO,NA,NA,NA,NA
Naranja,PeraDelRio,CPB4475,1,2,FALSO,NA,NA,NA,NA
Naranja,PeraDelRio,CPB4475,1,3,FALSO,NA,NA,NA,NA
Naranja,PeraDelRio,CPB4475,1,4,FALSO,NA,NA,NA,NA
Naranja,PeraDelRio,CPB4475,1,5,FALSO,NA,NA,NA,NA
Naranja,PeraDelRio,CPB4475,1,6,FALSO,NA,NA,NA,NA
Naranja,GarciaVal,CPB4475,2,1,Verdadero,0,NA,0,NA
Naranja,GarciaVal,CPB4475,2,2,Verdadero,0,NA,0,NA
Naranja,GarciaVal,CPB4475,2,3,Verdadero,0,NA,0,NA
Naranja,GarciaVal,CPB4475,2,4,Verdadero,1,2,1,NA
Naranja,GarciaVal,CPB4475,2,5,Verdadero,1,0,0,NA
Naranja,GarciaVal,CPB4475,2,6,Verdadero,0,NA,0,NA
Naranja,V_Washington,CPB4475,3,1,Verdadero,0,NA,0,NA
Naranja,V_Washington,CPB4475,3,2,Verdadero,1,0,0,NA
Naranja,V_Washington,CPB4475,3,3,Verdadero,0,NA,0,NA
Naranja,V_Washington,CPB4475,3,4,Verdadero,1,1,1,NA
Naranja,V_Washington,CPB4475,3,5,Verdadero,0,NA,0,NA
Naranja,V_Washington,CPB4475,3,6,Verdadero,1,1,1,NA
Naranja,Lannelate,CPB4475,4,1,Verdadero,1,0,0,NA
Naranja,Lannelate,CPB4475,4,2,Verdadero,1,0,0,NA
Naranja,Lannelate,CPB4475,4,3,Verdadero,0,NA,0,NA
Naranja,Lannelate,CPB4475,4,4,Verdadero,0,NA,0,NA
Naranja,Lannelate,CPB4475,4,5,Verdadero,1,0,0,NA
Naranja,Lannelate,CPB4475,4,6,Verdadero,0,NA,0,NA
Naranja,Sweety_O,CPB4475,5,1,Verdadero,0,NA,0,NA
Naranja,Sweety_O,CPB4475,5,2,Verdadero,1,2,1,NA
Naranja,Sweety_O,CPB4475,5,3,Verdadero,1,1,1,NA
Naranja,Sweety_O,CPB4475,5,4,Verdadero,1,2,1,NA
Naranja,Sweety_O,CPB4475,5,5,Verdadero,1,2,1,NA
Naranja,Sweety_O,CPB4475,5,6,Verdadero,1,0,0,NA
Naranja,Hamlin,CPB4475,6,1,Verdadero,0,NA,0,NA
Naranja,Hamlin,CPB4475,6,2,Verdadero,0,NA,0,NA
Naranja,Hamlin,CPB4475,6,3,Verdadero,0,NA,0,NA
Naranja,Hamlin,CPB4475,6,4,Verdadero,0,NA,0,NA
Naranja,Hamlin,CPB4475,6,5,Verdadero,0,NA,0,NA
Naranja,Hamlin,CPB4475,6,6,Verdadero,0,NA,0,NA
Naranja,FrostVal,CPB4475,7,1,Verdadero,0,NA,0,NA
Naranja,FrostVal,CPB4475,7,2,Verdadero,1,1,1,NA
Naranja,FrostVal,CPB4475,7,3,Verdadero,0,NA,0,NA
Naranja,FrostVal,CPB4475,7,4,Verdadero,0,NA,0,NA
Naranja,FrostVal,CPB4475,7,5,Verdadero,0,NA,0,NA
Naranja,FrostVal,CPB4475,7,6,Verdadero,0,NA,0,NA
Naranja,Pinneapple,CPB4475,8,1,Verdadero,1,1,1,NA
Naranja,Pinneapple,CPB4475,8,2,Verdadero,1,0,0,NA
Naranja,Pinneapple,CPB4475,8,3,Verdadero,0,NA,0,NA
Naranja,Pinneapple,CPB4475,8,4,Verdadero,0,NA,0,NA
Naranja,Pinneapple,CPB4475,8,5,Verdadero,0,NA,0,NA
Naranja,Pinneapple,CPB4475,8,6,Verdadero,1,1,1,NA
